title,content,url,date,source,category,sub_category
2026년 SW중심대학 AI 문제해결 챌린지 (신청: 4/28~5/8),"[2026년 SW중심대학 AI 문제해결 챌린지]
1. 일시 :
- 예선: 5. 16. (토) 14:00~
- 본선: 5. 23. (토) 14:00~
2. 장소 :
- 예선: 온라인, 2시간
- 본선: 경희대학교 국제캠퍼스 전자정보대학관
3. 주제 : AI로 캠퍼스 문제를 풀어라
세부 문제는 대회 당일 공개될 예정
4. 참가신청
-
신청기간:
2026.4.28.(
화
) 12:00 ~ 5.8(
금
) 23:59 /12
일간
-
신청방법:
대회 공식 웹사이트
(
https://icac.khuda.co.kr/
)
를 통해 개인 등록
※
참가신청은
1
인 개인전으로 접수하며
,
최대
150
명 도달 시 선착순 접수 마감함
5. 시상
구분
수상
상금
비고
대상
1
명
1,000
천원
Upstage
인턴십 서류 면제
최우수상
2
명
500
천원
우수상
3
명
300
천원
특별상
창의상
6
명
(
상품지급
)
문제별 최고점 최단시간
격려상
2
명
(
상품지급
)
비전공자 또는 저학년 중 선정
합계
총
14
명
2,900
천원
◦
상장
(
상격
)
은 참여대학
SW
중심대학사업단장 공동명의로 수여하며
,
상금은 수상자 소속의
SW
중심대학사업단에서 장학금 등으로 지급함
◦
특별상은 별도의 기준으로 선정하며
,
상품은 당일 공개함
◦
완주상은 전원에게 참가증을 발급하며
,
설문 완료자에게는 기념품 배포
6. 장학금 및 상장 안내사항
- 학생지원 프로그램은 졸업생을 제외한 모든 학생 신청 가능하
나, 장학금(상금) 지급기준 미충족 학생의 경우, 장학금(상금)은 지급되지 않음
- 장학 지급기준 미충족 학생의 장학금은 소멸
- 장학금(상금)은 받지 못하지만 상장은 발급 가능함
7. 문의사항
- 경희대학교 SW중심대학사업단 허림 학술연구교수 (rhaw@khu.ac.kr)",https://swedu.khu.ac.kr/bbs/board.php?bo_table=07_01&wr_id=2557&page=1,2026-04-28,SW중심대학사업단,event,internal_scholarship
2026년 SW중심대학 마이크로디그리 장학 안내,"경희대학교
SW
중심대학사업단에서는 아래와 같이 2026년
SW
중심대학 마이크로디그리 장학을 진행하고자하오니 관심있는 학생분들의 많은 신청 바랍니다
.
가. 신청대상: 직전학기에 마이크로디그리 과정을 1개이상 이수한 자
경희대학교 서울, 국제C 재학생
(장학요건 충족 학생만 가능, 졸업생, 휴학생, 졸업유예생 지급 불가)
나. 신청기간: 1학기 이수자는 2026년 8월까지, 2학기 이수자는 2027년 2월까지 신청
다. 장학금액: 이수 시 30만원(학생별 최대 마이크로디그리  2개까지 신청 가능)
라. 제출서류: 재학증명서, 성적증명서(해당 교과목 표시), 마이크로디그리 이수신청서
인포 마이크로디그리 신청 확인 캡쳐본 서류 각 1부
마. 제출방법:
SW
중심대학사업단 홈페이지 학생지원
–
연구인력지원비
(
장학
)
신청 메뉴
바. 장학금 지급 대상 마이크로디그리
캠퍼스
마이크로디그리
공통
(3)
후마니타스
AI·SW,
후마니타스 소프트웨어
,
후마니타스 인공지능
국제
(6)
인공지능 이론
,
인공지능 실전
,
빅데이터 분석
,
메타버스
,
로봇 소프트웨어
,
디자인 소프트웨어
[
공통
]
후마니타스 마이크로디그리
:
https://sdl.khu.ac.kr/bbs/board.php?bo_table=faq_all
[
국제
]
마이크로디그리
:
https://sdl.khu.ac.kr/bbs/board.php?bo_table=faq_global
사. 문의: SW중심대학사업단 swc@khu.ac.kr
붙임
: 1.
마이크로디그리 이수신청서 1부
2. 마이크로디그리 교과목리스트
1
부
. 끝.",https://swedu.khu.ac.kr/bbs/board.php?bo_table=07_01&wr_id=2556&page=1,2026-04-22,SW중심대학사업단,scholarship,internal_scholarship
2026년 AI·SW 해커톤 「khuthon 2026」 안내 (실시: 5/8~9),"1. 일시 : 2026. 5. 8. (금) 저녁부터 다음 날 점심까지
2. 장소 : 경희대학교 국제캠퍼스 전자정보대학관
3. 주제 : D-1부터 공개 예정
4. 참가신청
- 신청기간 : 2026. 4. 24(금)부터 2026. 5. 1(금)까지
- 참가대상 : 전공무관, 주관대학(참여대학) 소속 재학생
- 신청방법 :
https://thon.khlug.org
에서 팀 또는 개인 단위로 접수
* 참가신청은 1~4인 이내의 팀으로 접수하며, 140명 또는 48팀 접수 시 조기 마감합니다.
* 자세한 내용은 홈페이지
https://thon.khlug.org
에서 확인하세요.
5. 시상
- 대상 1팀 : 200만원
- 최우수상 3팀 : 각 100만원
- 우수상 6팀 : 각 50만원
6. 장학금 및 상장 안내사항
- 학생지원 프로그램은 졸업생을 제외한 모든 학생 신청 가능하나, 장학금(상금) 지급기준 미충족 학생의 경우, 장학금(상금)은 지급되지 않음
- 장학 지급기준 미충족 학생의 장학금은 소멸
- 장학금(상금)은 받지 못하지만 상장은 발급 가능함
7. 문의사항
- 경희대학교 SW중심대학사업단 허림 학술연구교수 (rhaw@khu.ac.kr)",https://swedu.khu.ac.kr/bbs/board.php?bo_table=07_01&wr_id=2554&page=1,2026-04-17,SW중심대학사업단,event,internal_scholarship
TOPCIT 제25회 정기평가 시행 안내 (5/16(토) 9:10 입실),"[TOPCIT 제25회 정기평가 시행 안내]
1.
평가일시
: 26.05.16(
토
), 09:30 ~12:00 / 9
시
10
분까지 입실완료
,
평가시작 후 입실 불가
*
입실마감으로 인해 응시하지 못한 경우 응시료 환급 불가
2.
단체 접수기간
: 4
월
6
일
(
월
) 09:00 ~ 4
월
15
일
(
수
) 15:00
3.
접수 방법
:
구글폼을 통한 온라인 접수
(
https://forms.gle/UMLSacyGYhh2wricA
)
* TOPCIT
홈페이지 미가입자의 경우 먼저
https://www.topcit.or.kr/
에서 회원 가입 후 설문지에
ID
정보 확인
*
시험 장소
:
경희대학교 국제캠퍼스 내 실습실
*
응 시 료
: 1
만원
(SW
중심대학사업단 행정실 방문하여 현금 납부
)
-
납부기간
: 4
월
6
일
(
월
) 09:00 ~ 4
월
15
일
(
수
) 15:00
-
응시료
1
만원이 접수기간 내 납부 되어야
,
정상 접수확정 처리됨
.
기한 내 미납부시 미신청으로 간주함
.
-
응지사는 응시당일
1
만원 반환
,
퇴실시
SW
중심대학사업단 행정실 방문
.
4.
단체접수 후 개인정보 작성이 필요하며
,
이와 관련하여 구글신청서에 입력한 메일로
4
월
13
일부터 순차적으로 안내 예정
-
첨부된
(TOPCIT)
응시자용 단체접수
(
정보등록
)
매뉴얼 참고 바랍니다
.
5.
평가영역 및 배점
:
https://www.topcit.or.kr/introduction/question.do
6. TOPCIT
특별장학금을 수령하려면 반드시 단체접수를 통해야 함
.
개별접수자는
TOPCIT
특별장학 대상에서 제외됨
.",https://swedu.khu.ac.kr/bbs/board.php?bo_table=07_01&wr_id=2544&page=1,2026-04-03,SW중심대학사업단,scholarship,internal_scholarship
[공지] 2026년 1학기 운영일정,,https://swedu.khu.ac.kr/bbs/board.php?bo_table=07_01&wr_id=2528&page=1,2026-02-23,SW중심대학사업단,other,general
[중요] 2026년 SW중심대학 학생지원프로그램 신청자격 안내,,https://swedu.khu.ac.kr/bbs/board.php?bo_table=07_01&wr_id=2519&page=1,2026-02-06,SW중심대학사업단,program,general
26년 미래내일 일경험 2기 IT 직무 기업리스트 및 모집 일정 안내,"2026년 미래내일 일경험 2기 인턴십
프로그램 안내
-  모집기간 : 4월 29일~5월 8일
(
모집, 서류심사, 면접심사 동시 진행)
-  최종선발 : 5월 11일~5월 13일
-
사전직무교육
: 없음(사전직무교육 면제(직무
관련 전공자 및 관련 자격증 취득자)
인원으로 선발 예정)
- 일경험
프로그램
기간
: 5월 18일(월)~7월 24일(금) (10주)
(참여기업에서 참여청년 근무 진행)
기업명
부서
직무
세부직무
선발
TO
근무시간
(
변동 불가
)
채용공고
URL
이포넷
연구소
IT
소프트웨어 개발
1
월
~
금
10:00~16:00 (
휴게시간
1
시간 포함
)
https://yw.work24.go.kr:443/d/a/prgmDtl/9WWK58igCm
엠클라우독
인공지능개발팀
IT
파이썬 개발
1
월
~
금
13:00~18:00
https://yw.work24.go.kr:443/d/a/prgmDtl/9WWK3STRb5
메타로고스
핀테크연구소
IT
모바일앤 백엔드 개발
1
월
~
금
13:00~18:00
https://yw.work24.go.kr:443/d/a/prgmDtl/9WWKZSn0sb
이트리즈시스템
SI
사업부
IT
웹개발자
2
월
~
금
12:30~17:30
https://yw.work24.go.kr:443/d/a/prgmDtl/23TBjCpULP
디엑스솔루션
기업부설연구소
SW
팀
IT
AI
솔루션
SW
개발
1
월
~
금
13:00~18:00
https://yw.work24.go.kr:443/d/a/prgmDtl/9WWKXEsqrm
퀘이자
개발팀
IT
SW
개발
1
월
~
금
09:00~15:00 (
휴게시간
1
시간 포함
)
https://yw.work24.go.kr:443/d/a/prgmDtl/9WWKw3E4aS
비전파트너스
기업부설연구소
IT
AI agnt
개발지원
1
월
~
금
09:00~15:00
(
휴게시간
1
시간 포함
)
https://yw.work24.go.kr:443/d/a/prgmDtl/9WWJusKenN
라온메디
개발실
IT
프론트엔드 개발
1
월
~
금
09:00~15:00
(
휴게시간
1
시간 포함
)
https://yw.work24.go.kr:443/d/a/prgmDtl/RdLOK7sa8a",https://swedu.khu.ac.kr/bbs/board.php?bo_table=07_01&wr_id=2559&page=1,2026-04-30,SW중심대학사업단,job,internship
[홍보] 시큐리티아카데미 8기 안랩트랙 및 파이오링크트랙,"★ 시큐리티아카데미 8기 온라인 모집 설명회 (구글폼 신청자 대상 접속 링크 문자 발송 예정)
★
- 주요내용 : 시큐리티아카데미 8기 안랩트랙, 파이오링크트랙 교육과정 소개, 특장점, 인턴연계 프로세스, 교육 신청절차, QnA
-일시/장소 : 2026년 5월 12일(화) 오후 2시 ~ / Zoom(온라인)
시큐리티아카데미 8기 (안랩트랙, 파이오링크트랙) 교육생 모집 (~5월 18일(월) 오전 10시)
시큐리티아카데미란?
과학기술정보통신부가 주최하고 한국정보보호산업협회가 주관하는 교육사업으로,
실습 중심의 전문교육 및 기업 인턴십을 통해 현장에 즉시 투입 가능한 실무형 정보보호 전문인재를 양성하는 채용연계형 교육과정입니다.
모집트랙
- 안랩트랙(기술지원, CERT)
- 파이오링크트랙(컨설팅,보안관제)
모집대상
- 4년제(학사) 이상 IT 유관학과 졸업(예정)자 20명 내외(트랙별)
우대조건
- '26년 8월 기준 졸업자 또는 졸업예정자
- 정보보호 관련 기술 및 자격증 소지자
- 교육 종료 후 취업 연계 가능자
모집기간
- 5월 18일(목) 오전 10시까지
안랩트랙
- 안랩 트랙의 채용직무인 '기술지원, CERT'에 특화된 커리큘럼
- 교육과정 수료 후 '안랩' 기술지원, CERT 직무로 인턴 연계 지원
파이오링크트랙
- 파이오링크 트랙의 채용직무인 '정보보호컨설팅, 보안관제'에 특화된 커리큘럼
- 교육과정 수료 후 '파이오링크' 정보보호컨설팅, 보안관제 직무로 인턴연계 지원
교육과정
- 직무교육 및 프로젝트: 6~9월(약 4개월)
- 인턴십: 10~11월 (2개월)
교육장소
- KISIA 한국정보보호교육원(송파구 소재)
교육혜택
- 취업 연계 지원
- 취업 컨설팅 제공
- 전액 무료 교육
- 교육수당 지급(1일 2만 5천원)
- 자격증 취득비 지원(1인 10만원)
- 전문 멘토링 및 프로젝트 지원
- 과기정통부 장관상 및 부상 수여
신청방법
STEP 1) 구글폼 등록 신청
-
https://forms.gle/
XZBCaLL9nszKDjEf9
STEP 2) LMS 통합 온라인 지원
-
https://kiceclass.kisia.or.kr/
문의처 : KISIA 한국정보보호교육원
-
securityacademy@kisia.or.kr
/ 02-6748-2019",https://swedu.khu.ac.kr/bbs/board.php?bo_table=07_01&wr_id=2558&page=1,2026-04-30,SW중심대학사업단,job,internship
[홍보] 2026년 전국민 AI 경진대회(챔피언) 참가자 모집,"[
총 상금
26
억
! 2026 AI
챔피언 대회 참가자 모집
]
자유로운 상상
,
뜨거운 경쟁
!
대한민국 인공지능 인재들의 두 번째 항해가 시작됩니다
.
인공지능에 관심 있는 분이라면 개인
,
팀 상관없이 누구나 도전할 수 있는 역대급 기회
!
지금 바로 확인해 보세요
.
대회 개요
대회명
: 2026 AI
챔피언 대회
참가 대상
:
대학
·
기업
·
연구소
AI
기술 전문가로 구성된 연구팀 또는 개인
주제
:
인공지능 전 분야
(
자유로운 상상력을 발휘해 보세요
!)
세부트랙
:
일반 트랙
–
AI
활용 기술에 제한이 없는 트랙
국내
AI
트랙
-
본 대회 연계 기업
*
의
AI
모델을 활용하는 트랙
(*
연계 기업
: KT, LG AI
연구원
, NC AI, SKT,
업스테이지
)
총 상금
: 26
억 원
(
제세공과금 포함
)
압도적인 상금 규모
!
여러분의 아이디어가 가치가 되는 순간입니다
.
1
위
:
일반
/
국내
AI
트랙 각
5
억원
2
위
:
일반
/
국내
AI
트랙 각
3
억원
3
위
:
일반
/
국내
AI
트랙 각
2
억원
4
위
:
일반
/
국내
AI
트랙 각
1
억원
5
위
:
일반
/
국내
AI
트랙 각
5,000
만원
6~10
위
:
일반
/
국내
AI
트랙 각
3,000
만원
※
꼭 확인해야 할 일정
접수 기간
: 2026.03.26.(
목
) 14:00 ~ 04.24.(
금
) 17:00
까지
대회 주요 일정
: 2026.03. ~ 12.
신청 방법
:
공식 홈페이지 접수
aichallenge4all.or.kr
궁금한 점이 있다면
?
문의 메일
: ai.champion.info@gmail.com
상담 채널
:
포스터 하단
QR
코드를 통해
'
상담
Talk'
이용 가능",https://swedu.khu.ac.kr/bbs/board.php?bo_table=07_01&wr_id=2555&page=1,2026-04-21,SW중심대학사업단,event,competition
[서울] 2026년 AI·SW 융합 페스티벌 (신청: ~5/15),"[2026
년
AI·SW
융합 페스티벌]
1.
목적
: SW
비전공 학생들의 우수
AI·SW
아이디어
,
개발한 앱 또는 자신의 전공에
AI·SW
를 접목한 작품의 전시를 통한
AI·SW
개발능력 향상과 자부심 고취 및 전시회를 통한
AI·SW
기술의 확산 도모
2.
참가대상
:
경희대학교
SW
비전공 재학생
(
장학요건 만족 필요
)
-
소프트웨어융합대학
(
다전공 포함
)
학생 참가 불가
-
개인 또는 팀 참여 가능
(1
인 중복 참가 불가 및 캠퍼스 교차
/
중복 참가 불가
)
3. 행사개요
가. 일시
-
2026
년
6
월
23
일
(
화
) 16시~18시
나
.
접수 방법
: 2026
년
4
월
15
일
~5월 15
일
-
구글폼으로 접수 신청
-
팀의 경우 팀장만 신청
/
개인의 경우 개인이 신청
-
서울캠퍼스
:
https://forms.gle/CumMPw5wN2ct18km8
다
.
출품작품
: AI·SW
융합 페
스티벌 발표
-
주제
:
기후변화로 인한 환경문제를 위한
AI
-
발표방식
: PPT
로 발표 및 작품이 있을 경우 동영상으로 발표
-
중간점검
: 5
월중순 예정
(
상세내용은 추후 안내
)
마
.
필수사항
-
참가 작품은
SW
중심대학사업단
[
포트폴리오사이트
–
AI·SW
융합 프로젝트
]
게시판에 업로드
바
.
시상내역
:
상금 및
AI·SW
교육단장상 발급
구분
수상팀
상금
최우수상
1
개팀
1,000,000
원
우수상
2
개팀
500,000
원
장려상
3
개팀
300,000
원
인기상
1
개팀
200,000
원",https://swedu.khu.ac.kr/bbs/board.php?bo_table=07_01&wr_id=2553&page=1,2026-04-15,SW중심대학사업단,event,event_program
